"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"575978009741651969","","","2015-03-12 11:13:53 +0000","<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix for Android</a>","Brisk out this morning. And snow incoming for sure based on @cdnmaple6 's migraine.","","","",""
"575970910731153408","","","2015-03-12 10:45:40 +0000","<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix for Android</a>","RT @rickygervais: RT if you're kind to animals http://t.co/Ld5aPL1yKs","575969059541487616","20015311","2015-03-12 10:38:19 +0000","http://twitter.com/rickygervais/status/575969059541487616/photo/1,http://twitter.com/rickygervais/status/575969059541487616/photo/1"
"573464375618568193","","","2015-03-05 12:45:36 +0000","<a href=""http://klinkerapps.com"" rel=""nofollow"">Talon Plus</a>","RT @qikipedia: A cat's brain can store 1,000 times more data than an iPad (via http://t.co/8PmnAylt7L)","573442153847918592","22151193","2015-03-05 11:17:18 +0000","http://www.amazon.co.uk/411-Facts-Knock-You-Sideways/dp/0571317774,http://www.amazon.co.uk/411-Facts-Knock-You-Sideways/dp/0571317774"
"573451940224311298","","","2015-03-05 11:56:11 +0000","<a href=""http://klinkerapps.com"" rel=""nofollow"">Talon Plus</a>","There are days where you don't want to leave bed. This? This is one of those days.","","","",""
"573266591988756480","","","2015-03-04 23:39:40 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Dinner, Beer, TV &amp; Gaming.  Who could ask for a better night with the misses?","","","",""
"573111560853438465","","78614459","2015-03-04 13:23:38 +0000","<a href=""http://klinkerapps.com"" rel=""nofollow"">Talon Plus</a>","@hfxtraffic Tip for drivers, with the slosh at the edge, move over a bit to avoid spraying people on the sidewalks. #halifax","","","",""
"573092598006620160","","","2015-03-04 12:08:17 +0000","<a href=""http://klinkerapps.com"" rel=""nofollow"">Talon Plus</a>","Or just get on the Bedford highway. Can't leave first gear here. #halifax","","","",""
"573092434969796608","","","2015-03-04 12:07:38 +0000","<a href=""http://klinkerapps.com"" rel=""nofollow"">Talon Plus</a>","Another morning #halifax commute, another car flipped over. Slow down people.","","","",""
"572802737966059520","572802154152382464","95836403","2015-03-03 16:56:29 +0000","<a href=""http://klinkerapps.com"" rel=""nofollow"">Talon Plus</a>","@AmourAnnette I'm going with insanity.","","","",""
"572728605563858944","","","2015-03-03 12:01:55 +0000","<a href=""http://klinkerapps.com"" rel=""nofollow"">Talon Plus</a>","The world needs more coffee.  That is all.","","","",""
